flower_binary,fruit_binary,year,day_of_the_year,dbh_cm,height_m
,,2018,21,,
,,2018,24,,
,,2018,37,,
,,2018,37,,
,,2018,37,,
,,2018,38,,
,,2018,38,,
,,2018,38,,
,,2018,38,,
,,2018,38,,
,,2018,38,,
,,2018,66,,
,,2018,66,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,191,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,192,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,1,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,193,,
,1,2018,193,,
,,2018,193,,
,,2018,193,,
,,2018,233,,
,,2018,233,,
,,2018,233,,
,,2018,233,,
,,2018,233,,
,,2018,233,,
,,2018,233,,
,,2018,234,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,236,,
,,2018,236,,
,,2018,236,,
,,2018,236,,
,,2018,236,,
,,2018,236,,
,,2018,236,,
,,2018,236,,
,,2018,246,,
,,2018,246,,
,,2018,246,,
,,2018,249,,
,,2018,249,,
,,2018,267,,
,,2018,267,,
,,2018,268,,
,,2018,275,,
,,2018,275,,8
,,2018,275,,8
,,2018,275,,7
,,2018,275,,9
,,2018,275,,7
,,2018,275,,8
,,2018,275,,7
,,2018,275,,6
,,2018,275,,5
,,2018,275,,5
,,2018,275,,10
,,2018,275,,4
,,2018,275,,7
,,2018,275,,6
,,2018,275,,4
,,2018,281,,6
,1,2018,282,,
,,2018,282,,7
,1,2018,282,,8
,,2018,284,,
,1,2018,297,,
,1,2018,297,,
,1,2018,297,,
,,2018,333,,
,,2018,338,,
,,2018,340,,
,,2018,340,,
,,2018,340,,
0,0,2018,349,,
,,2019,23,,
,,2019,23,,
,,2019,23,,
,,2019,29,,
,,2019,29,,
,,2019,29,,
,,2019,29,,
,,2019,29,,
,,2019,30,,
,,2019,32,,
,,2019,32,,
,,2019,32,,
,,2019,35,,
,,2019,35,,
,1,2019,35,,
,,2019,35,,
,,2019,44,,
,,2019,44,,
,1,2019,44,,
,,2019,44,,
,,2019,45,,
,,2019,45,,
,,2019,45,,
,,2019,45,,
,,2019,45,,
,,2019,45,,
,,2019,45,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,46,,
,,2019,51,,
,,2019,51,,
,,2019,51,,
,,2019,51,,
,,2019,51,,
,1,2019,53,,
,,2019,53,,
,,2019,53,,
,,2019,53,,
,,2019,53,,
,,2019,53,,
,,2019,53,,
,,2019,53,,
,,2019,53,,
,,2019,80,,
,,2019,80,,
,,2019,80,,
,,2019,91,,4
,,2019,92,,
,,2019,107,,
,,2019,107,,
,,2019,107,,
,,2019,107,,
,,2019,107,,4
,,2019,107,,15
,,2019,107,,
,,2019,107,,10
,,2019,108,,15
,,2019,108,,5
,,2019,108,,15
,,2019,108,,10
,,2019,108,,20
,,2019,108,,
,,2019,108,,
,,2019,108,,7
,,2019,108,,
,,2019,108,,
,,2019,108,,10
,,2019,108,,
,,2019,113,,
,,2019,113,,6
,,2019,113,,
,,2019,113,,
,,2019,113,,
,,2019,113,,12
,,2019,113,,
,,2019,113,,10
,,2019,113,,4
,,2019,113,,9
,,2019,113,,7
,,2019,113,,7
,,2019,113,,6
,,2019,113,,8
,,2019,113,,12
,,2019,113,,7
,,2019,113,,7
,,2019,113,,8
