persoonia_regen_height_m,max_tree_age_yrs
0.24,3.03287671232874
0.24,3.03287671232874
0.28,3.03287671232874
0.29,3.03287671232874
0.3,3.03287671232874
0.44,3.03287671232874
0.3,3.03287671232874
0.24,3.03287671232874
0.37,3.03287671232874
0.74,3.03287671232874
0.41,3.03287671232874
0.4,3.03287671232874
0.28,3.03287671232874
0.11,3.03287671232874
0.53,3.03287671232874
0.7,3.03287671232874
0.7,3.03287671232874
0.09,3.03287671232874
0.53,3.03287671232874
0.65,3.03287671232874
0.47,3.03287671232874
0.4,3.03287671232874
0.08,3.03287671232874
0.08,3.03287671232874
0.18,3.03287671232874
0.14,3.03287671232874
0.49,3.03287671232874
0.73,3.03287671232874
